"","loss_total...13."
"result.1",0.005
"result.2",0.01
"result.6",0.03
"result.9",0.045
"result.11",0.055
"result.12",0.06
"result.13",0.065
"result.15",0.075
"result.17",0.085
"result.20",0.1
"result.21",0.105
"result.23",0.115
"result.24",0.12
"result.25",0.125
"result.27",0.135
"result.31",0.155
"result.32",0.16
"result.33",0.165
"result.34",0.17
"result.37",0.185
"result.41",0.205
"result.42",0.21
"result.44",0.22
"result.45",0.225
"result.46",0.23
"result.47",0.235
"result.50",0.25
"result.52",0.26
"result.54",0.27
"result.56",0.28
"result.57",0.285
"result.58",0.29
"result.61",0.305
"result.63",0.315
"result.66",0.33
"result.67",0.335
"result.68",0.34
"result.71",0.355
"result.75",0.375
"result.77",0.385
"result.78",0.39
"result.79",0.395
"result.80",0.4
"result.82",0.41
"result.83",0.415
"result.84",0.42
"result.86",0.43
"result.88",0.44
"result.90",0.45
"result.91",0.455
"result.92",0.46
"result.94",0.47
"result.97",0.485
